titulo,texto,pontuacao_comentario,categoria
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",10.0,Aplicativos
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",10.0,Aplicativos
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,10.0,Aplicativos
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",10.0,Aplicativos
Falta de suporte ao cliente,"Todas as minhas últimas entregas chegaram em atraso, algumas com mais de HORA de atraso.Tentei solucionar, pedindo inte...",10.0,Aplicativos
Saldo de carteira,"Fiz uma compra , o estabelecimento não tinha todos os itens, fizeram o reembolso, porém o saldo foi para o saldo de carteira ...",10.0,Aplicativos
Injustiça,"Boa noite como nois já sabemos o entregador é o elo mais fraco da corrente,sendo assim muitas das vezes injustiçado, essa sem...",10.0,Aplicativos
Pedido veio revirado e IFood ignorou minha solicitação,"Dia 08/10 realizei um pedido no ifood pelo restaurante McDonald's o pedido chegou completamente revirado, a coca abriu mo...",10.0,Aplicativos
Reembolso negado,"Comprei um lanche no bobs retiro em volta redonda, O entregador foi ao endereço errado e cancelaram meu pedido, e não me reem...",10.0,Aplicativos
Pedido errado,"Fiz um pedido no dia 10/10 de um combo, porém meu pedido veio errado, número do meu pedido era 107 e veio o hambúrguer do ped...",10.0,Aplicativos
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",10.0,Aplicativos
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",10.0,Aplicativos
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,10.0,Aplicativos
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",10.0,Aplicativos
Falta de suporte ao cliente,"Todas as minhas últimas entregas chegaram em atraso, algumas com mais de HORA de atraso.Tentei solucionar, pedindo inte...",10.0,Aplicativos
Saldo de carteira,"Fiz uma compra , o estabelecimento não tinha todos os itens, fizeram o reembolso, porém o saldo foi para o saldo de carteira ...",10.0,Aplicativos
Injustiça,"Boa noite como nois já sabemos o entregador é o elo mais fraco da corrente,sendo assim muitas das vezes injustiçado, essa sem...",10.0,Aplicativos
Pedido veio revirado e IFood ignorou minha solicitação,"Dia 08/10 realizei um pedido no ifood pelo restaurante McDonald's o pedido chegou completamente revirado, a coca abriu mo...",10.0,Aplicativos
Reembolso negado,"Comprei um lanche no bobs retiro em volta redonda, O entregador foi ao endereço errado e cancelaram meu pedido, e não me reem...",10.0,Aplicativos
Pedido errado,"Fiz um pedido no dia 10/10 de um combo, porém meu pedido veio errado, número do meu pedido era 107 e veio o hambúrguer do ped...",10.0,Aplicativos
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",10.0,Aplicativos
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",10.0,Aplicativos
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,10.0,Aplicativos
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",10.0,Aplicativos
Falta de suporte ao cliente,"Todas as minhas últimas entregas chegaram em atraso, algumas com mais de HORA de atraso.Tentei solucionar, pedindo inte...",10.0,Aplicativos
Saldo de carteira,"Fiz uma compra , o estabelecimento não tinha todos os itens, fizeram o reembolso, porém o saldo foi para o saldo de carteira ...",10.0,Aplicativos
Injustiça,"Boa noite como nois já sabemos o entregador é o elo mais fraco da corrente,sendo assim muitas das vezes injustiçado, essa sem...",10.0,Aplicativos
Pedido veio revirado e IFood ignorou minha solicitação,"Dia 08/10 realizei um pedido no ifood pelo restaurante McDonald's o pedido chegou completamente revirado, a coca abriu mo...",10.0,Aplicativos
Reembolso negado,"Comprei um lanche no bobs retiro em volta redonda, O entregador foi ao endereço errado e cancelaram meu pedido, e não me reem...",10.0,Aplicativos
Pedido errado,"Fiz um pedido no dia 10/10 de um combo, porém meu pedido veio errado, número do meu pedido era 107 e veio o hambúrguer do ped...",10.0,Aplicativos
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",10.0,Aplicativos
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",10.0,Aplicativos
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,10.0,Aplicativos
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",10.0,Aplicativos
Falta de suporte ao cliente,"Todas as minhas últimas entregas chegaram em atraso, algumas com mais de HORA de atraso.Tentei solucionar, pedindo inte...",10.0,Aplicativos
Saldo de carteira,"Fiz uma compra , o estabelecimento não tinha todos os itens, fizeram o reembolso, porém o saldo foi para o saldo de carteira ...",10.0,Aplicativos
Injustiça,"Boa noite como nois já sabemos o entregador é o elo mais fraco da corrente,sendo assim muitas das vezes injustiçado, essa sem...",10.0,Aplicativos
Pedido veio revirado e IFood ignorou minha solicitação,"Dia 08/10 realizei um pedido no ifood pelo restaurante McDonald's o pedido chegou completamente revirado, a coca abriu mo...",10.0,Aplicativos
Reembolso negado,"Comprei um lanche no bobs retiro em volta redonda, O entregador foi ao endereço errado e cancelaram meu pedido, e não me reem...",10.0,Aplicativos
Pedido errado,"Fiz um pedido no dia 10/10 de um combo, porém meu pedido veio errado, número do meu pedido era 107 e veio o hambúrguer do ped...",10.0,Aplicativos
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",10.0,Aplicativos
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",10.0,Aplicativos
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,10.0,Aplicativos
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",10.0,Aplicativos
Falta de suporte ao cliente,"Todas as minhas últimas entregas chegaram em atraso, algumas com mais de HORA de atraso.Tentei solucionar, pedindo inte...",10.0,Aplicativos
Saldo de carteira,"Fiz uma compra , o estabelecimento não tinha todos os itens, fizeram o reembolso, porém o saldo foi para o saldo de carteira ...",10.0,Aplicativos
Injustiça,"Boa noite como nois já sabemos o entregador é o elo mais fraco da corrente,sendo assim muitas das vezes injustiçado, essa sem...",10.0,Aplicativos
Pedido veio revirado e IFood ignorou minha solicitação,"Dia 08/10 realizei um pedido no ifood pelo restaurante McDonald's o pedido chegou completamente revirado, a coca abriu mo...",10.0,Aplicativos
Reembolso negado,"Comprei um lanche no bobs retiro em volta redonda, O entregador foi ao endereço errado e cancelaram meu pedido, e não me reem...",10.0,Aplicativos
Pedido errado,"Fiz um pedido no dia 10/10 de um combo, porém meu pedido veio errado, número do meu pedido era 107 e veio o hambúrguer do ped...",10.0,Aplicativos
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",10.0,Aplicativos
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",10.0,Aplicativos
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,10.0,Aplicativos
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",10.0,Aplicativos
Falta de suporte ao cliente,"Todas as minhas últimas entregas chegaram em atraso, algumas com mais de HORA de atraso.Tentei solucionar, pedindo inte...",10.0,Aplicativos
Saldo de carteira,"Fiz uma compra , o estabelecimento não tinha todos os itens, fizeram o reembolso, porém o saldo foi para o saldo de carteira ...",10.0,Aplicativos
Injustiça,"Boa noite como nois já sabemos o entregador é o elo mais fraco da corrente,sendo assim muitas das vezes injustiçado, essa sem...",10.0,Aplicativos
Pedido veio revirado e IFood ignorou minha solicitação,"Dia 08/10 realizei um pedido no ifood pelo restaurante McDonald's o pedido chegou completamente revirado, a coca abriu mo...",10.0,Aplicativos
Reembolso negado,"Comprei um lanche no bobs retiro em volta redonda, O entregador foi ao endereço errado e cancelaram meu pedido, e não me reem...",10.0,Aplicativos
Pedido errado,"Fiz um pedido no dia 10/10 de um combo, porém meu pedido veio errado, número do meu pedido era 107 e veio o hambúrguer do ped...",10.0,Aplicativos
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",10.0,Aplicativos
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",10.0,Aplicativos
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,10.0,Aplicativos
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",10.0,Aplicativos
Falta de suporte ao cliente,"Todas as minhas últimas entregas chegaram em atraso, algumas com mais de HORA de atraso.Tentei solucionar, pedindo inte...",10.0,Aplicativos
Saldo de carteira,"Fiz uma compra , o estabelecimento não tinha todos os itens, fizeram o reembolso, porém o saldo foi para o saldo de carteira ...",10.0,Aplicativos
Injustiça,"Boa noite como nois já sabemos o entregador é o elo mais fraco da corrente,sendo assim muitas das vezes injustiçado, essa sem...",10.0,Aplicativos
Pedido veio revirado e IFood ignorou minha solicitação,"Dia 08/10 realizei um pedido no ifood pelo restaurante McDonald's o pedido chegou completamente revirado, a coca abriu mo...",10.0,Aplicativos
Reembolso negado,"Comprei um lanche no bobs retiro em volta redonda, O entregador foi ao endereço errado e cancelaram meu pedido, e não me reem...",10.0,Aplicativos
Pedido errado,"Fiz um pedido no dia 10/10 de um combo, porém meu pedido veio errado, número do meu pedido era 107 e veio o hambúrguer do ped...",10.0,Aplicativos
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",10.0,Aplicativos
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",10.0,Aplicativos
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,10.0,Aplicativos
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",10.0,Aplicativos
Falta de suporte ao cliente,"Todas as minhas últimas entregas chegaram em atraso, algumas com mais de HORA de atraso.Tentei solucionar, pedindo inte...",10.0,Aplicativos
Saldo de carteira,"Fiz uma compra , o estabelecimento não tinha todos os itens, fizeram o reembolso, porém o saldo foi para o saldo de carteira ...",10.0,Aplicativos
Injustiça,"Boa noite como nois já sabemos o entregador é o elo mais fraco da corrente,sendo assim muitas das vezes injustiçado, essa sem...",10.0,Aplicativos
Pedido veio revirado e IFood ignorou minha solicitação,"Dia 08/10 realizei um pedido no ifood pelo restaurante McDonald's o pedido chegou completamente revirado, a coca abriu mo...",10.0,Aplicativos
Reembolso negado,"Comprei um lanche no bobs retiro em volta redonda, O entregador foi ao endereço errado e cancelaram meu pedido, e não me reem...",10.0,Aplicativos
Pedido errado,"Fiz um pedido no dia 10/10 de um combo, porém meu pedido veio errado, número do meu pedido era 107 e veio o hambúrguer do ped...",10.0,Aplicativos
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",10.0,Aplicativos
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",10.0,Aplicativos
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,10.0,Aplicativos
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",10.0,Aplicativos
Falta de suporte ao cliente,"Todas as minhas últimas entregas chegaram em atraso, algumas com mais de HORA de atraso.Tentei solucionar, pedindo inte...",10.0,Aplicativos
Saldo de carteira,"Fiz uma compra , o estabelecimento não tinha todos os itens, fizeram o reembolso, porém o saldo foi para o saldo de carteira ...",10.0,Aplicativos
Injustiça,"Boa noite como nois já sabemos o entregador é o elo mais fraco da corrente,sendo assim muitas das vezes injustiçado, essa sem...",10.0,Aplicativos
Pedido veio revirado e IFood ignorou minha solicitação,"Dia 08/10 realizei um pedido no ifood pelo restaurante McDonald's o pedido chegou completamente revirado, a coca abriu mo...",10.0,Aplicativos
Reembolso negado,"Comprei um lanche no bobs retiro em volta redonda, O entregador foi ao endereço errado e cancelaram meu pedido, e não me reem...",10.0,Aplicativos
Pedido errado,"Fiz um pedido no dia 10/10 de um combo, porém meu pedido veio errado, número do meu pedido era 107 e veio o hambúrguer do ped...",10.0,Aplicativos
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",10.0,Aplicativos
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",10.0,Aplicativos
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,10.0,Aplicativos
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",10.0,Aplicativos
Falta de suporte ao cliente,"Todas as minhas últimas entregas chegaram em atraso, algumas com mais de HORA de atraso.Tentei solucionar, pedindo inte...",10.0,Aplicativos
Saldo de carteira,"Fiz uma compra , o estabelecimento não tinha todos os itens, fizeram o reembolso, porém o saldo foi para o saldo de carteira ...",10.0,Aplicativos
Injustiça,"Boa noite como nois já sabemos o entregador é o elo mais fraco da corrente,sendo assim muitas das vezes injustiçado, essa sem...",10.0,Aplicativos
Pedido veio revirado e IFood ignorou minha solicitação,"Dia 08/10 realizei um pedido no ifood pelo restaurante McDonald's o pedido chegou completamente revirado, a coca abriu mo...",10.0,Aplicativos
Reembolso negado,"Comprei um lanche no bobs retiro em volta redonda, O entregador foi ao endereço errado e cancelaram meu pedido, e não me reem...",10.0,Aplicativos
Pedido errado,"Fiz um pedido no dia 10/10 de um combo, porém meu pedido veio errado, número do meu pedido era 107 e veio o hambúrguer do ped...",10.0,Aplicativos
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",9.92,Delivery Alimentação
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",9.92,Delivery Alimentação
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,9.92,Delivery Alimentação
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",9.92,Delivery Alimentação
Falta de suporte ao cliente,"Todas as minhas últimas entregas chegaram em atraso, algumas com mais de HORA de atraso.Tentei solucionar, pedindo inte...",9.92,Delivery Alimentação
Saldo de carteira,"Fiz uma compra , o estabelecimento não tinha todos os itens, fizeram o reembolso, porém o saldo foi para o saldo de carteira ...",9.92,Delivery Alimentação
Injustiça,"Boa noite como nois já sabemos o entregador é o elo mais fraco da corrente,sendo assim muitas das vezes injustiçado, essa sem...",9.92,Delivery Alimentação
Pedido veio revirado e IFood ignorou minha solicitação,"Dia 08/10 realizei um pedido no ifood pelo restaurante McDonald's o pedido chegou completamente revirado, a coca abriu mo...",9.92,Delivery Alimentação
Reembolso negado,"Comprei um lanche no bobs retiro em volta redonda, O entregador foi ao endereço errado e cancelaram meu pedido, e não me reem...",9.92,Delivery Alimentação
Pedido errado,"Fiz um pedido no dia 10/10 de um combo, porém meu pedido veio errado, número do meu pedido era 107 e veio o hambúrguer do ped...",9.92,Delivery Alimentação
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",9.92,Delivery Alimentação
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",9.92,Delivery Alimentação
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,9.92,Delivery Alimentação
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",9.92,Delivery Alimentação
Falta de suporte ao cliente,"Todas as minhas últimas entregas chegaram em atraso, algumas com mais de HORA de atraso.Tentei solucionar, pedindo inte...",9.92,Delivery Alimentação
Saldo de carteira,"Fiz uma compra , o estabelecimento não tinha todos os itens, fizeram o reembolso, porém o saldo foi para o saldo de carteira ...",9.92,Delivery Alimentação
Injustiça,"Boa noite como nois já sabemos o entregador é o elo mais fraco da corrente,sendo assim muitas das vezes injustiçado, essa sem...",9.92,Delivery Alimentação
Pedido veio revirado e IFood ignorou minha solicitação,"Dia 08/10 realizei um pedido no ifood pelo restaurante McDonald's o pedido chegou completamente revirado, a coca abriu mo...",9.92,Delivery Alimentação
Reembolso negado,"Comprei um lanche no bobs retiro em volta redonda, O entregador foi ao endereço errado e cancelaram meu pedido, e não me reem...",9.92,Delivery Alimentação
Pedido errado,"Fiz um pedido no dia 10/10 de um combo, porém meu pedido veio errado, número do meu pedido era 107 e veio o hambúrguer do ped...",9.92,Delivery Alimentação
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",9.92,Delivery Alimentação
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",9.92,Delivery Alimentação
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,9.92,Delivery Alimentação
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",9.92,Delivery Alimentação
Falta de suporte ao cliente,"Todas as minhas últimas entregas chegaram em atraso, algumas com mais de HORA de atraso.Tentei solucionar, pedindo inte...",9.92,Delivery Alimentação
Saldo de carteira,"Fiz uma compra , o estabelecimento não tinha todos os itens, fizeram o reembolso, porém o saldo foi para o saldo de carteira ...",9.92,Delivery Alimentação
Injustiça,"Boa noite como nois já sabemos o entregador é o elo mais fraco da corrente,sendo assim muitas das vezes injustiçado, essa sem...",9.92,Delivery Alimentação
Pedido veio revirado e IFood ignorou minha solicitação,"Dia 08/10 realizei um pedido no ifood pelo restaurante McDonald's o pedido chegou completamente revirado, a coca abriu mo...",9.92,Delivery Alimentação
Reembolso negado,"Comprei um lanche no bobs retiro em volta redonda, O entregador foi ao endereço errado e cancelaram meu pedido, e não me reem...",9.92,Delivery Alimentação
Pedido errado,"Fiz um pedido no dia 10/10 de um combo, porém meu pedido veio errado, número do meu pedido era 107 e veio o hambúrguer do ped...",9.92,Delivery Alimentação
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",9.92,Delivery Alimentação
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",9.92,Delivery Alimentação
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,9.92,Delivery Alimentação
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",9.92,Delivery Alimentação
Falta de suporte ao cliente,"Todas as minhas últimas entregas chegaram em atraso, algumas com mais de HORA de atraso.Tentei solucionar, pedindo inte...",9.92,Delivery Alimentação
Saldo de carteira,"Fiz uma compra , o estabelecimento não tinha todos os itens, fizeram o reembolso, porém o saldo foi para o saldo de carteira ...",9.92,Delivery Alimentação
Injustiça,"Boa noite como nois já sabemos o entregador é o elo mais fraco da corrente,sendo assim muitas das vezes injustiçado, essa sem...",9.92,Delivery Alimentação
Pedido veio revirado e IFood ignorou minha solicitação,"Dia 08/10 realizei um pedido no ifood pelo restaurante McDonald's o pedido chegou completamente revirado, a coca abriu mo...",9.92,Delivery Alimentação
Reembolso negado,"Comprei um lanche no bobs retiro em volta redonda, O entregador foi ao endereço errado e cancelaram meu pedido, e não me reem...",9.92,Delivery Alimentação
Pedido errado,"Fiz um pedido no dia 10/10 de um combo, porém meu pedido veio errado, número do meu pedido era 107 e veio o hambúrguer do ped...",9.92,Delivery Alimentação
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",9.92,Delivery Alimentação
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",9.92,Delivery Alimentação
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,9.92,Delivery Alimentação
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",9.92,Delivery Alimentação
Falta de suporte ao cliente,"Todas as minhas últimas entregas chegaram em atraso, algumas com mais de HORA de atraso.Tentei solucionar, pedindo inte...",9.92,Delivery Alimentação
Saldo de carteira,"Fiz uma compra , o estabelecimento não tinha todos os itens, fizeram o reembolso, porém o saldo foi para o saldo de carteira ...",9.92,Delivery Alimentação
Injustiça,"Boa noite como nois já sabemos o entregador é o elo mais fraco da corrente,sendo assim muitas das vezes injustiçado, essa sem...",9.92,Delivery Alimentação
Pedido veio revirado e IFood ignorou minha solicitação,"Dia 08/10 realizei um pedido no ifood pelo restaurante McDonald's o pedido chegou completamente revirado, a coca abriu mo...",9.92,Delivery Alimentação
Reembolso negado,"Comprei um lanche no bobs retiro em volta redonda, O entregador foi ao endereço errado e cancelaram meu pedido, e não me reem...",9.92,Delivery Alimentação
Pedido errado,"Fiz um pedido no dia 10/10 de um combo, porém meu pedido veio errado, número do meu pedido era 107 e veio o hambúrguer do ped...",9.92,Delivery Alimentação
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",9.92,Delivery Alimentação
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",9.92,Delivery Alimentação
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,9.92,Delivery Alimentação
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",9.92,Delivery Alimentação
Falta de suporte ao cliente,"Todas as minhas últimas entregas chegaram em atraso, algumas com mais de HORA de atraso.Tentei solucionar, pedindo inte...",9.92,Delivery Alimentação
Saldo de carteira,"Fiz uma compra , o estabelecimento não tinha todos os itens, fizeram o reembolso, porém o saldo foi para o saldo de carteira ...",9.92,Delivery Alimentação
Injustiça,"Boa noite como nois já sabemos o entregador é o elo mais fraco da corrente,sendo assim muitas das vezes injustiçado, essa sem...",9.92,Delivery Alimentação
Pedido veio revirado e IFood ignorou minha solicitação,"Dia 08/10 realizei um pedido no ifood pelo restaurante McDonald's o pedido chegou completamente revirado, a coca abriu mo...",9.92,Delivery Alimentação
Reembolso negado,"Comprei um lanche no bobs retiro em volta redonda, O entregador foi ao endereço errado e cancelaram meu pedido, e não me reem...",9.92,Delivery Alimentação
Pedido errado,"Fiz um pedido no dia 10/10 de um combo, porém meu pedido veio errado, número do meu pedido era 107 e veio o hambúrguer do ped...",9.92,Delivery Alimentação
Me [Editado pelo Reclame Aqui],"Pedir um açaí, e a loja entregou pra outra pessoa, tentei reclamar pro iFood, nada de falar comigo. Perdir 30 reais.Din...",9.92,Delivery Alimentação
Dinheiro Desabilitado Na Conta Nova,"Boa noite, tudo bem? A minha conta ela é nova e a função dinheiro está desabilitado, vocês poderiam habilitar pra mim? Seria ...",9.92,Delivery Alimentação
Pedido foi entregue faltando e o ifood não quer devolver meu dinheiro.,Fiz um pedido de um pack com 8 garrafas de água mineral sem gás.Quando recebi o pedido veio apenas 1 unidade de garrafa...,9.92,Delivery Alimentação
Divergência inexistente no cadastro,"Estou a 2 dias tentando fazer o cadastro como parceiro na plataforma Ifood, com todos os documentos regularizados, dados atua...",9.92,Delivery Alimentação
